"","PWSID","PWS_Name","County","Pop","ServConn","Water System Ownership","log10PopCat"
"1513","CA1500561","ROUND MOUNTAIN WATER COMPANY","KERN",50,"17","Privately owned Mutual Water Company or Association",1
"1514","CA1500584","GOOSELAKE WATER COMPANY","KERN",90,"32","Privately owned Mutual Water Company or Association",1
"1515","CA1500585","OASIS PROPERTY OWNERS ASSOCIATION","KERN",100,"39","Privately owned Mutual Water Company or Association",2
"1516","CA1500593","UPLANDS OF THE KERN MUTUAL WATER COMPANY","KERN",80,"20","Privately owned Mutual Water Company or Association",1
"1517","CA1500599","CHOCTAW VALLEY MUTUAL WATER CO.","KERN",44,"18","Privately owned Mutual Water Company or Association",1
"1518","CA1502320","LERDO SHERIFF S FACILITY","KERN",2800,"110","Privately owned Mutual Water Company or Association",3
"1519","CA1502600","WEGIS MUTUAL WATER COMPANY","KERN",51,"23","Privately owned Mutual Water Company or Association",1
"1520","CA1502620","POND MUTUAL WATER COMPANY","KERN",48,"18","Privately owned, non-PUC-regulated (Community Water System)",1
"1521","CA1502663","TOWN & COUNTRY WATER COMPANY","KERN",73,"22","Privately owned Mutual Water Company or Association",1
"1522","CA1503526","WINI MUTUAL WATER COMPANY","KERN",29,"12","Privately owned Mutual Water Company or Association",1
"1523","CA1503669","NORTH KRANENBURG WS","KERN",33,"10","Privately owned Mutual Water Company or Association",1
"1524","CA1510003","CWS - BAKERSFIELD","KERN",258035,"69810","Privately owned, PUC-regulated, for profit water company",5
"1525","CA1510004","CASA LOMA WATER CO, INC.","KERN",900,"248","Privately owned Mutual Water Company or Association",2
"1526","CA1510006","EAST NILES CSD","KERN",31772,"7846","Local Government",4
"1527","CA1510011","BUTTONWILLOW CWD","KERN",1508,"439","Local Government",3
"1528","CA1510013","MCFARLAND, CITY OF","KERN",15105,"2849","Local Government",4
"1529","CA1510019","SHAFTER, CITY OF","KERN",20500,"4777","Local Government",4
"1530","CA1510021","WASCO, CITY OF","KERN",22690,"5103","Local Government",4
"1531","CA1510022","WEST KERN WATER DISTRICT","KERN",22863,"7537","Local Government",4
"1532","CA1510029","VAUGHN WC INC","KERN",32330,"10525","Privately owned Mutual Water Company or Association",4
"1533","CA1510031","BAKERSFIELD, CITY OF","KERN",148015,"46412","Local Government",5
"1534","CA1510046","LOST HILLS UTILITY DISTRICT","KERN",2412,"437","Local Government",3
"1535","CA1510055","CWS - NORTH GARDEN","KERN",24208,"6788","Privately owned, PUC-regulated, for profit water company",4
"1536","CA1610001","ARMONA COMMUNITY SERVICES DIST","KINGS",4143,"1219","Local Government",3
"1537","CA1610002","AVENAL, CITY OF","KINGS",13053,"1953","Local Government",4
"1538","CA1610003","HANFORD, CITY OF","KINGS",62127,"17296","Local Government",4
"1539","CA1610004","CORCORAN, CITY OF","KINGS",21835,"3383","Local Government",4
"1540","CA1610009","KETTLEMAN CITY CSD","KINGS",1450,"354","Local Government",3
"1541","CA5400553","DEL ORO TRAVER DISTRICT","TULARE",663,"201","Privately owned, PUC-regulated, for profit water company",2
"1542","CA5400665","DEL ORO RIVER ISLAND SERV TERR #1","TULARE",1287,"390","Privately owned, PUC-regulated, for profit water company",3
"1543","CA5400682","PLAINVIEW MWC - CENTRAL WATER","TULARE",138,"42","Privately owned Mutual Water Company or Association",2
"1544","CA5400767","DEL ORO EAST PLANO DISTRICT","TULARE",46,"14","Privately owned, PUC-regulated, for profit water company",1
"1545","CA5402048","DEL ORO RIVER ISLAND SERV TERR #2","TULARE",99,"30","Privately owned, PUC-regulated, for profit water company",1
"1546","CA5410007","LSID - TONYVILLE","TULARE",500,"52","Local Government",2
"1547","CA5410009","PIXLEY PUBLIC UTIL DIST","TULARE",2709,"821","Local Government",3
"1548","CA5410014","TIPTON COMMUNITY SERVICES DIST","TULARE",2543,"599","Privately owned, non-PUC-regulated (Community Water System)",3
"1549","CA5410017","LONDON COMMUNITY SERV DIST","TULARE",2138,"320","Privately owned, non-PUC-regulated (Community Water System)",3
"1550","CA5410025","WOODVILLE PUBLIC UTILITY DIST","TULARE",1673,"467","Local Government",3
"1551","CA5410026","POPLAR COMM SERVICE DIST","TULARE",2200,"597","Local Government",3
"1552","CA5410036","LSID-STRATHMORE SYSTEM","TULARE",500,"158","Local Government",2
"1553","CA5410041","CWS - TULCO WATER COMPANY","TULARE",716,"178","Privately owned, PUC-regulated, for profit water company",2
"1554","CA5410050","ALPAUGH COMMUNITY SERVICES DISTRICT","TULARE",1026,"394","Privately owned, non-PUC-regulated (Community Water System)",3
"1555","CA1400007","SIERRA HIGHLAND CSD","INYO",600,"215","Local Government",2
"1556","CA1400098","DARWIN COMMUNITY SERVICE DISTRICT","INYO",40,"63","Local Government",1
"1557","CA1410003","LADWP - LONE PINE","INYO",1967,"2","Local Government",3
"1558","CA1410004","LADWP - BIG PINE","INYO",0,"2","Local Government",-Inf
"1559","CA1410005","INDIAN CREEK CSD","INYO",1030,"297","Local Government",3
"1560","CA1410006","BIG PINE CSD","INYO",792,"304","Privately owned, non-PUC-regulated (Community Water System)",2
"1561","CA2610003","BRIDGEPORT PUD","MONO",851,"258","Local Government",2
"1562","CA3600008","APPLE VALLEY FOOTHILL CWD","SAN BERNARDINO",712,"216","Privately owned, non-PUC-regulated (Community Water System)",2
"1563","CA3600009","APPLE VALLEY HEIGHTS CWD","SAN BERNARDINO",943,"286","Local Government",2
"1564","CA3600139","JUBILEE MWC","SAN BERNARDINO",855,"205","Privately owned Mutual Water Company or Association",2
"1565","CA3600222","JUNIPER RIVIERA CWD","SAN BERNARDINO",441,"250","Local Government",2
"1566","CA3610002","ALPINE WATER USERS ASSOCIATION","SAN BERNARDINO",2534,"937","Privately owned Mutual Water Company or Association",3
"1567","CA3610003","LIBERTY UTILITIES (AV RANCHOS) CORP.","SAN BERNARDINO",62602,"20871","Privately owned, PUC-regulated, for profit water company",4
"1568","CA3610004","WEST VALLEY WATER DISTRICT","SAN BERNARDINO",83902,"22034","Local Government",4
"1569","CA3610005","LAKE ARROWHEAD CSD","SAN BERNARDINO",7183,"7862","Local Government",3
"1570","CA3610008","BIG BEAR CITY CSD","SAN BERNARDINO",12543,"6149","Local Government",4
"1571","CA3610009","BIGHORN - DESERT VIEW WATER AGENCY","SAN BERNARDINO",3086,"1631","Local Government",3
"1572","CA3610011","CEDARPINES PARK MWC","SAN BERNARDINO",2511,"771","Privately owned Mutual Water Company or Association",3
"1573","CA3610016","GLEN MARTIN MWC","SAN BERNARDINO",450,"338","Privately owned, non-PUC-regulated (Community Water System)",2
"1574","CA3610017","HAVASU WC","SAN BERNARDINO",361,"224","Privately owned, PUC-regulated, for profit water company",2
"1575","CA3610018","CUCAMONGA VALLEY WATER DISTRICT","SAN BERNARDINO",201950,"48250","Local Government",5
"1576","CA3610022","DWP - FAWNSKIN","SAN BERNARDINO",510,"717","Local Government",2
"1577","CA3610024","HESPERIA WD","SAN BERNARDINO",94133,"26879","Local Government",4
"1578","CA3610028","MARYGOLD MWC","SAN BERNARDINO",3049,"924","Privately owned Mutual Water Company or Association",3
"1579","CA3610029","MONTE VISTA CWD","SAN BERNARDINO",57678,"11856","Local Government",4
"1580","CA3610030","MARIANA RANCHOS CWD","SAN BERNARDINO",1386,"420","Local Government",3
"1581","CA3610032","NEEDLES, CITY OF","SAN BERNARDINO",4302,"1706","Local Government",3
"1582","CA3610036","CHINO HILLS, CITY OF","SAN BERNARDINO",84364,"21465","Local Government",4
"1583","CA3610037","REDLANDS CITY MUD-WATER DIV","SAN BERNARDINO",71554,"23694","Local Government",4
"1584","CA3610038","RIALTO, CITY OF","SAN BERNARDINO",54453,"11579","Local Government",4
"1585","CA3610044","BIG BEAR LAKE DWP - BIG BEAR SYSTEM","SAN BERNARDINO",9338,"14756","Local Government",3
"1586","CA3610045","LACSD - RIMFOREST","SAN BERNARDINO",579,"294","Local Government",2
"1587","CA3610049","TWENTYNINE PALMS WATER DISTRICT","SAN BERNARDINO",18795,"6940","Local Government",4
"1588","CA3610053","WESTERN HEIGHTS WATER COMPANY","SAN BERNARDINO",7405,"2247","Privately owned Mutual Water Company or Association",3
"1589","CA3610057","RIVERSIDE HIGHLAND WATER COMPANY","SAN BERNARDINO",17780,"4852","Privately owned Mutual Water Company or Association",4
"1590","CA3610082","SAN ANTONIO CANYON MSC","SAN BERNARDINO",108,"64","Privately owned Mutual Water Company or Association",2
"1591","CA3610105","GOLDEN STATE WATER CO - APPLE VLY NORTH","SAN BERNARDINO",2088,"725","Privately owned, PUC-regulated, for profit water company",3
"1592","CA3610107","GOLDEN STATE WATER CO - APPLE VLY SOUTH","SAN BERNARDINO",6264,"1907","Privately owned, PUC-regulated, for profit water company",3
"1593","CA3610108","GOLDEN STATE WATER CO - LUCERNE","SAN BERNARDINO",744,"315","Privately owned, PUC-regulated, for profit water company",2
"1594","CA3610109","SHEEP CREEK WATER COMPANY","SAN BERNARDINO",3366,"1192","Privately owned Mutual Water Company or Association",3
"1595","CA3610114","CLAWA","SAN BERNARDINO",2320,"1223","Local Government",3
"1596","CA3610120","PHELAN PINON HILLS CSD","SAN BERNARDINO",22763,"6898","Local Government",4
"1597","CA3610854","SEARLES VALLEY MINERALS OPERATIONS INC","SAN BERNARDINO",1818,"796","Privately owned, PUC-regulated, for profit water company",3
"1598","CA1310001","BRAWLEY, CITY OF","IMPERIAL",26273,"5646","Local Government",4
"1599","CA1310006","IMPERIAL, CITY OF","IMPERIAL",19372,"5793","Local Government",4
"1600","CA1310007","HEBER PUBLIC UTILITY DISTRICT","IMPERIAL",6979,"1627","Local Government",3
"1601","CA1310013","SEELEY CWD","IMPERIAL",2124,"449","Local Government",3
"1602","CA3700905","PINE HILLS MUTUAL WATER COMPANY","SAN DIEGO",760,"236","Privately owned Mutual Water Company or Association",2
"1603","CA3700919","LAKE WOHLFORD RESORT","SAN DIEGO",250,"137","Privately owned, non-PUC-regulated (Community Water System)",2
"1604","CA3700924","LAKE MORENA VIEWS MW CO.","SAN DIEGO",360,"120","Privately owned Mutual Water Company or Association",2
"1605","CA3700934","PAUMA VALLEY MUTUAL WATER COMPANY","SAN DIEGO",120,"28","Privately owned Mutual Water Company or Association",2
"1606","CA3701408","YUIMA MUNICIPAL WATER DISTRICT","SAN DIEGO",260,"107","Local Government",2
"1607","CA3710001","CAL-AM WATER CORONADO","SAN DIEGO",94000,"21100","Privately owned, PUC-regulated, for profit water company",4
"1608","CA3710005","CARLSBAD MWD","SAN DIEGO",88422,"28079","Local Government",4
"1609","CA3710006","ESCONDIDO, CITY OF","SAN DIEGO",137941,"26604","Local Government",5
"1610","CA3710009","DESCANSO COMMUNITY SERVICES DISTRICT","SAN DIEGO",870,"317","Local Government",2
"1611","CA3710010","HELIX WATER DISTRICT","SAN DIEGO",247526,"56481","Local Government",5
"1612","CA3710016","RAINBOW MUNICIPAL WD","SAN DIEGO",22288,"8155","Local Government",4
"1613","CA3710018","RINCON DEL DIABLO MWD (ID-1)","SAN DIEGO",27255,"6869","Local Government",4
"1614","CA3710019","RAMONA MUNICIPAL WD","SAN DIEGO",33865,"9507","Local Government",4
"1615","CA3710020","SAN DIEGO, CITY OF","SAN DIEGO",1405422,"280840","Local Government",6
"1616","CA3710021","SAN DIEGUITO WD","SAN DIEGO",38003,"11666","Local Government",4
"1617","CA3710023","SANTA FE I.D.","SAN DIEGO",24509,"6461","Local Government",4
"1618","CA3710025","SWEETWATER AUTHORITY","SAN DIEGO",190680,"33224","Privately owned, non-PUC-regulated (Community Water System)",5
"1619","CA3710029","OLIVENHAIN MWD","SAN DIEGO",86478,"22579","Local Government",4
"1620","CA3710036","BORREGO WD","SAN DIEGO",3429,"2047","Local Government",3
"1621","CA3710037","PADRE DAM MWD","SAN DIEGO",90864,"22986","Local Government",4
"1622","CA3710039","PINE VALLEY MUTUAL WC","SAN DIEGO",2500,"691","Privately owned Mutual Water Company or Association",3
"1623","CA3710042","SAN DIEGO COUNTY WATER AUTHORITY","SAN DIEGO",0,"97","Local Government",-Inf
"1624","CA3710044","RINCON DEL DIABLO MWD (ID-A)","SAN DIEGO",2700,"1058","Local Government",3
"1625","CA1900542","LOS ANGELES, CITY OF - POWER PLANT #2","LOS ANGELES",41,"14","Local Government",1
"1626","CA1900555","LOS ANGELES, CITY OF - POWER PLANT #1","LOS ANGELES",20,"19","Local Government",1
"1627","CA1900803","EL DORADO MUTUAL WATER CO.","LOS ANGELES",648,"235","Privately owned Mutual Water Company or Association",2
"1628","CA1910028","CRESCENTA VALLEY CWD","LOS ANGELES",33037,"8001","Local Government",4
"1629","CA1910030","GSWC - CULVER CITY","LOS ANGELES",36192,"9243","Privately owned, PUC-regulated, for profit water company",4
"1630","CA1910040","EL SEGUNDO-CITY, WATER DEPT.","LOS ANGELES",16853,"4857","Local Government",4
"1631","CA1910051","INGLEWOOD- CITY, WATER DEPT.","LOS ANGELES",84448,"15899","Local Government",4
"1632","CA1910067","LOS ANGELES-CITY, DEPT. OF WATER & POWER","LOS ANGELES",4085000,"686539","Local Government",6
"1633","CA1910077","GSWC - FLORENCE/GRAHAM","LOS ANGELES",66014,"9659","Privately owned, PUC-regulated, for profit water company",4
"1634","CA1910098","GSWC - NORWALK","LOS ANGELES",43893,"9332","Privately owned, PUC-regulated, for profit water company",4
"1635","CA1910099","PARADISE RANCH MHP","LOS ANGELES",325,"95","Privately owned, non-PUC-regulated (Community Water System)",2
"1636","CA1910124","PASADENA-CITY, WATER DEPT.","LOS ANGELES",166046,"37361","Local Government",5
"1637","CA1910157","SUNNY SLOPE WATER CO.","LOS ANGELES",30700,"6301","Privately owned Mutual Water Company or Association",4
"1638","CA1910166","VALLEY WATER CO.","LOS ANGELES",10070,"3613","Privately owned Mutual Water Company or Association",4
"1639","CA1910191","NORWALK - CITY, WATER DEPT.","LOS ANGELES",12794,"5322","Local Government",4
"1640","CA1910250","SANTA CLARITA VALLEY W.A.-PINETREE DIV.","LOS ANGELES",9247,"2802","Local Government",3
"1641","CA1910255","SANTA CLARITA VALLEY W.A.-TESORO DIV.","LOS ANGELES",3861,"1170","Local Government",3
"1642","CA1900901","FIRE SUPPRESSION CAMP #19","LOS ANGELES",125,"9","Local Government",2
"1643","CA1910007","AZUSA LIGHT AND WATER","LOS ANGELES",106400,"23590","Local Government",5
"1644","CA1910027","LOS ANGELES CWWD 40, REG. 35-N.E. L.A.","LOS ANGELES",797,"220","Local Government",2
"1645","CA1910045","ANTELOPE VALLEY EAST KERN WATER AGENCY","LOS ANGELES",0,"49","Local Government",-Inf
"1646","CA1910070","LOS ANGELES CWWD 40,REG 4 & 34-LANCASTER","LOS ANGELES",183918,"50583","Local Government",5
"1647","CA1910075","LOS ANGELES CWWD 21-KAGEL CANYON","LOS ANGELES",547,"245","Local Government",2
"1648","CA1910081","LYNWOOD PARK MUTUAL WATER CO.","LOS ANGELES",2300,"470","Privately owned Mutual Water Company or Association",3
"1649","CA1910083","MANHATTAN BEACH-CITY, WATER DEPT.","LOS ANGELES",35135,"13296","Local Government",4
"1650","CA1910085","MAYWOOD MUTUAL WATER CO. #2","LOS ANGELES",7118,"1924","Privately owned Mutual Water Company or Association",3
"1651","CA1910143","SAN FERNANDO-CITY, WATER DEPT.","LOS ANGELES",24714,"5158","Local Government",4
"1652","CA1910146","SANTA MONICA-CITY, WATER DIVISION","LOS ANGELES",92306,"16888","Local Government",4
"1653","CA1910185","LOS ANGELES CWWD 36-VAL VERDE","LOS ANGELES",5173,"1349","Local Government",3
"1654","CA1910234","WALNUT VALLEY WATER DISTRICT","LOS ANGELES",105495,"27089","Local Government",5
"1655","CA1910241","MESA CREST WATER CO.","LOS ANGELES",2500,"704","Privately owned, PUC-regulated, for profit water company",3
"1656","CA4110001","MID-PENINSULA WATER DISTRICT","SAN MATEO",28050,"8728","Local Government",4
"1657","CA4110002","CITY OF BRISBANE","SAN MATEO",3189,"1279","Local Government",3
"1658","CA4110005","GUADALUPE VALLEY MID","SAN MATEO",1398,"750","Local Government",3
"1659","CA4110007","CALIFORNIA WATER SERVICE - SAN CARLOS","SAN MATEO",30955,"10445","Privately owned, PUC-regulated, for profit water company",4
"1660","CA4110008","CALIFORNIA WATER SERVICE - SAN MATEO","SAN MATEO",107465,"25459","Privately owned, PUC-regulated, for profit water company",5
"1661","CA4110009","CALIFORNIA WATER SERVICE-S SAN FRANCISCO","SAN MATEO",62039,"16146","Privately owned, PUC-regulated, for profit water company",4
"1662","CA4110011","COASTSIDE COUNTY WATER DISTRICT","SAN MATEO",16811,"6530","Local Government",4
"1663","CA4110016","TOWN OF HILLSBOROUGH","SAN MATEO",10910,"4293","Local Government",4
"1664","CA4110017","MENLO PARK MUNICIPAL WATER","SAN MATEO",14348,"4181","Local Government",4
"1665","CA4110018","CITY OF MILLBRAE","SAN MATEO",22795,"6458","Local Government",4
"1666","CA4110020","PALO ALTO PARK MUTUAL WATER COMPANY","SAN MATEO",2500,"692","Privately owned Mutual Water Company or Association",3
"1667","CA4110021","ESTERO MUNICIPAL IMPROVEMENT DISTRICT","SAN MATEO",37687,"8160","Local Government",4
"1668","CA4110024","CITY OF EAST PALO ALTO","SAN MATEO",28000,"3752","Local Government",4
"1669","CA4110027","WESTBOROUGH COUNTY WATER DIST","SAN MATEO",14050,"3885","Local Government",4
"1670","CA4300504","ARROWHEAD COOPERATIVE COMPANY","SANTA CLARA",109,"39","Privately owned Mutual Water Company or Association",2
"1671","CA4300517","CHEMEKETA PARK MUTUAL WATER COMPANY","SANTA CLARA",346,"153","Privately owned, PUC-regulated, for profit water company",2
"1672","CA4300521","KENNON WATER COMPANY","SANTA CLARA",142,"43","Privately owned, non-PUC-regulated (Community Water System)",2
"1673","CA4300526","OAKMONT WATER SYSTEM","SANTA CLARA",63,"25","Privately owned, non-PUC-regulated (Community Water System)",1
"1674","CA4300542","SAN MARTIN COUNTY WATER DISTRICT","SANTA CLARA",614,"186","Local Government",2
"1675","CA4300543","WEST SAN MARTIN WATER WORKS INC","SANTA CLARA",1406,"309","Privately owned, PUC-regulated, for profit water company",3
"1676","CA4300546","SIERRA ROAD IMPROVEMENT ASSOCIATION INC","SANTA CLARA",210,"47","Privately owned Mutual Water Company or Association",2
"1677","CA4300551","HAPPY ACRES MWC","SANTA CLARA",220,"79","Privately owned, non-PUC-regulated (Community Water System)",2
"1678","CA4300562","ROSEVIEW HEIGHTS MUTUAL WATER COMPANY","SANTA CLARA",143,"51","Privately owned Mutual Water Company or Association",2
"1679","CA4300563","MT. PLEASANT WATER USERS ASSOCIATION","SANTA CLARA",300,"90","Privately owned, non-PUC-regulated (Community Water System)",2
"1680","CA4300571","SULLIVAN MUTUAL WATER","SANTA CLARA",53,"16","Privately owned Mutual Water Company or Association",1
"1681","CA4300575","TWIN VALLEY INC","SANTA CLARA",317,"96","Privately owned, PUC-regulated, for profit water company",2
"1682","CA4300577","RANCHO ROBLES MUTUAL WATER COMPANY","SANTA CLARA",112,"41","Privately owned Mutual Water Company or Association",2
"1683","CA4300581","VELLADAO MOBILE HOME PARK","SANTA CLARA",75,"27","Privately owned, non-PUC-regulated (Community Water System)",1
"1684","CA4300630","FOOTHILL MUTUAL WATER COMPANY","SANTA CLARA",30,"10","Privately owned Mutual Water Company or Association",1
"1685","CA4300741","MIREVAL IMPROVEMENT ASSOCIATION","SANTA CLARA",60,"15","Privately owned Mutual Water Company or Association",1
"1686","CA4300760","SANTA TERESA MEADOWS WATER COMPANY","SANTA CLARA",68,"24","Privately owned Mutual Water Company or Association",1
"1687","CA4300770","THREE SPRINGS RANCH MUTUAL WATER COMPANY","SANTA CLARA",110,"33","Privately owned Mutual Water Company or Association",2
"1688","CA4300831","MT. EDEN MUTUAL WATER COMPANY","SANTA CLARA",110,"59","Privately owned Mutual Water Company or Association",2
"1689","CA4300832","SOUTH COUNTY RETIREMENT HOME","SANTA CLARA",46,"3","Privately owned, non-PUC-regulated (Community Water System)",1
"1690","CA4300834","CAMP SARATOGA","SANTA CLARA",450,"15","Privately owned, non-PUC-regulated (Community Water System)",2
"1691","CA4300856","SPRING VALLEY HEIGHTS ASSOCIATION INC","SANTA CLARA",65,"19","Privately owned, non-PUC-regulated (Community Water System)",1
"1692","CA4300912","MECCHI WATER COMPANY","SANTA CLARA",104,"32","Privately owned, PUC-regulated, for profit water company",2
"1693","CA4300979","QUAIL CREEK ESTATES MUTUAL WATER COMPANY","SANTA CLARA",55,"39","Privately owned Mutual Water Company or Association",1
"1694","CA4300992","GOLDEN HEIGHTS MUTUAL WATER COMPANY","SANTA CLARA",66,"21","Privately owned Mutual Water Company or Association",1
"1695","CA4300996","VALLEY VIEW RANCHES","SANTA CLARA",45,"16","Privately owned Mutual Water Company or Association",1
"1696","CA4300999","UVAS PINES RV PARK","SANTA CLARA",86,"43","Privately owned, non-PUC-regulated (Community Water System)",1
"1697","CA4310009","CITY OF PALO ALTO","SANTA CLARA",66721,"19842","Local Government",4
"1698","CA4310014","CITY OF SUNNYVALE","SANTA CLARA",147055,"29210","Local Government",5
"1699","CA4310018","CITY OF CUPERTINO","SANTA CLARA",16530,"4486","Privately owned, PUC-regulated, for profit water company",4
"1700","CA4310020","CITY OF SAN JOSE - EVG/EDV/COY","SANTA CLARA",93300,"23443","Local Government",4
"1701","CA4310022","GREAT OAKS WC INC","SANTA CLARA",103590,"21303","Privately owned, PUC-regulated, for profit water company",5
"1702","CA2100519","ESTERO MUTUAL","MARIN",186,"145","Privately owned Mutual Water Company or Association",2
"1703","CA2100565","GREEN GULCH FARM","MARIN",75,"17","Privately owned, non-PUC-regulated (Community Water System)",1
"1704","CA2110003","NORTH MARIN WATER DISTRICT","MARIN",61500,"20540","Local Government",4
"1705","CA2110004","STINSON BEACH COUNTY WTR DIST","MARIN",1500,"741","Local Government",3
"1706","CA2110005","BOLINAS COMMUNITY PUD","MARIN",2620,"587","Local Government",3
"1707","CA2110006","NORTH MARIN WD - PT. REYES","MARIN",1700,"767","Local Government",3
"1708","CA4900510","SOUTH CLOVERDALE WATER COMPANY","SONOMA",90,"39","Privately owned, non-PUC-regulated (Community Water System)",1
"1709","CA4900512","HAPPY ACRES MUTUAL BENEFIT WATER SYSTEM","SONOMA",260,"79","Privately owned, non-PUC-regulated (Community Water System)",2
"1710","CA4900513","MADRONE MUTUAL WATER COMPANY","SONOMA",76,"23","Privately owned Mutual Water Company or Association",1
"1711","CA4900514","RANCHO DEL PARADISO-CAL WATER SVC (PUC)","SONOMA",162,"58","Privately owned, PUC-regulated, for profit water company",2
"1712","CA4900521","GILL CREEK MUTUAL WATER COMPANY","SONOMA",232,"92","Privately owned Mutual Water Company or Association",2
"1713","CA4900533","MORTON'S WARM SPRINGS / SONOMA SPRINGS","SONOMA",59,"21","Privately owned, PUC-regulated, for profit water company",1
"1714","CA4900536","OCCIDENTAL COMMUNITY SERVICES DISTRICT","SONOMA",383,"107","Local Government",2
"1715","CA4900543","SONOMA COUNTY CSA 41-SALMON CREEK","SONOMA",427,"99","Local Government",2
"1716","CA4900548","HOLLAND HEIGHTS MUTUAL WATER COMPANY","SONOMA",300,"117","Privately owned Mutual Water Company or Association",2
"1717","CA4900551","MELITA HEIGHTS MUTUAL WATER COMPANY","SONOMA",64,"25","Privately owned Mutual Water Company or Association",1
"1718","CA4900552","MICHELE MUTUAL WATER COMPANY","SONOMA",170,"62","Privately owned, PUC-regulated, for profit water company",2
"1719","CA4900553","PARK ROYAL MUTUAL WATER COMPANY","SONOMA",75,"27","Privately owned Mutual Water Company or Association",1
"1720","CA4900562","DIAMOND A MUTUAL WATER COMPANY","SONOMA",420,"192","Privately owned Mutual Water Company or Association",2
"1721","CA4900563","MISSION HIGHLANDS MUTUAL WATER CO.","SONOMA",150,"69","Privately owned Mutual Water Company or Association",2
"1722","CA4900568","VALLEY FORD WATER ASSOCIATION","SONOMA",61,"23","Privately owned, non-PUC-regulated (Community Water System)",1
"1723","CA4900573","WILSHIRE HEIGHTS MUTUAL WATER COMPANY","SONOMA",100,"40","Privately owned, non-PUC-regulated (Community Water System)",2
"1724","CA4900575","LOCH HAVEN MUTUAL WATER COMPANY","SONOMA",26,"12","Privately owned Mutual Water Company or Association",1
"1725","CA4900577","RIO LINDO ADVENTIST ACADEMY","SONOMA",358,"54","Privately owned, non-PUC-regulated (Community Water System)",2
"1726","CA4900580","SONOMA MOUNTAIN COUNTY WATER DISTRICT","SONOMA",154,"55","Local Government",2
"1727","CA4900587","BRAND WATER COMPANY","SONOMA",112,"34","Privately owned Mutual Water Company or Association",2
"1728","CA4900588","LAWNDALE MUTUAL WATER COMPANY","SONOMA",218,"66","Privately owned Mutual Water Company or Association",2
"1729","CA4900603","RIEBLI MUTUAL WATER COMPANY","SONOMA",150,"47","Privately owned Mutual Water Company or Association",2
"1730","CA4900605","MARK WEST ACRES MWC","SONOMA",60,"22","Privately owned Mutual Water Company or Association",1
"1731","CA4900630","AUSTIN CREEK MUTUAL (SPRINGHILL)","SONOMA",150,"63","Privately owned, non-PUC-regulated (Community Water System)",2
"1732","CA4900634","HUCKLEBERRY MUTUAL WATER COMPANY","SONOMA",45,"29","Privately owned Mutual Water Company or Association",1
"1733","CA4900637","MAGIC MOUNTAIN MUTUAL WATER COMPANY","SONOMA",100,"67","Privately owned Mutual Water Company or Association",2
"1734","CA4900644","BRIDGEHAVEN PARK","SONOMA",70,"31","Privately owned, non-PUC-regulated (Community Water System)",1
"1735","CA4900646","ALEXANDER VALLEY ACRES WATER COMPANY","SONOMA",30,"16","Privately owned Mutual Water Company or Association",1
"1736","CA4900647","SERENO DEL MAR WATER COMPANY (PUC)","SONOMA",445,"135","Privately owned, PUC-regulated, for profit water company",2
"1737","CA4900653","LONE PINE MUTUAL WATER COMPANY","SONOMA",65,"28","Privately owned Mutual Water Company or Association",1
"1738","CA4900667","COLLEGE PARK MUTUAL WATER COMPANY","SONOMA",231,"70","Privately owned Mutual Water Company or Association",2
"1739","CA4900673","ATHENA TERRACE MUTUAL WATER COMPANY","SONOMA",74,"23","Privately owned Mutual Water Company or Association",1
"1740","CA4900674","PINE HILL TERRACE MOBILE HOME PARK","SONOMA",27,"23","Privately owned, non-PUC-regulated (Community Water System)",1
"1741","CA4900675","ROSELAND MOBILE HOME PARK","SONOMA",130,"70","Privately owned, non-PUC-regulated (Community Water System)",2
"1742","CA4900723","SHAMROCK MOBILE HOME PARK","SONOMA",188,"127","Privately owned, non-PUC-regulated (Community Water System)",2
"1743","CA4900728","EVERGREEN MOBILE ESTATES","SONOMA",70,"23","Privately owned Mutual Water Company or Association",1
"1744","CA4900736","CLEAR CREEK WATER COMPANY","SONOMA",40,"19","Privately owned Mutual Water Company or Association",1
"1745","CA4900788","EL CRYSTAL MOBILE HOME PARK","SONOMA",130,"57","Privately owned, non-PUC-regulated (Community Water System)",2
"1746","CA4900792","WAYSIDE GARDENS MOBILE HOME PARK","SONOMA",75,"50","Privately owned, non-PUC-regulated (Community Water System)",1
"1747","CA4900793","VINEHILL VISTAS MUTUAL WATER COMPANY","SONOMA",60,"29","Privately owned Mutual Water Company or Association",1
"1748","CA4900794","SUNSET PARK COMMUNITY","SONOMA",141,"42","Privately owned, non-PUC-regulated (Community Water System)",2
"1749","CA4900795","STONEGATE MOBILE HOME PARK","SONOMA",100,"75","Privately owned, non-PUC-regulated (Community Water System)",2
"1750","CA4900797","NORTH STAR MOBILE HOME PARK","SONOMA",75,"76","Privately owned Mutual Water Company or Association",1
"1751","CA4900799","EL PORTAL MOBILE ESTATES","SONOMA",200,"122","Privately owned, non-PUC-regulated (Community Water System)",2
"1752","CA4900871","DE ANZA MOON VALLEY WATER COMPANY","SONOMA",691,"247","Privately owned, non-PUC-regulated (Community Water System)",2
"1753","CA4900901","SOBRE VISTA WATER COMPANY","SONOMA",80,"26","Privately owned Mutual Water Company or Association",1
