"","PWSID","PWS_Name","County","Pop","ServConn","Water System Ownership","Pop_per_conn","log10PopCat"
"1452","CA3410018","RIO LINDA/ELVERTA COMMUNITY WATER DIST","SACRAMENTO",14381,4590,"Local Government",3.13311546840959,4
"1453","CA3410020","CITY OF SACRAMENTO MAIN","SACRAMENTO",501344,142218,"Local Government",3.52517965377097,5
"1454","CA3410022","OLYMPIA MOBILODGE","SACRAMENTO",450,200,"Privately owned, non-PUC-regulated (Community Water System)",2.25,2
"1455","CA3410023","CAL AM FRUITRIDGE VISTA","SACRAMENTO",15712,4761,"Privately owned, PUC-regulated, for profit water company",3.30014702793531,4
"1456","CA3410029","SCWA - LAGUNA/VINEYARD","SACRAMENTO",164967,45566,"Local Government",3.62039678707808,5
"1457","CA3410045","CALAM - ARDEN","SACRAMENTO",3888,1178,"Privately owned, PUC-regulated, for profit water company",3.30050933786078,3
"1458","CA3410047","CALAM - WALNUT GROVE","SACRAMENTO",651,197,"Privately owned, PUC-regulated, for profit water company",3.30456852791878,2
"1459","CA3410704","SCWA MATHER-SUNRISE","SACRAMENTO",19919,6036,"Local Government",3.30003313452618,4
"1460","CA5710003","CITY OF WEST SACRAMENTO","YOLO",53082,14701,"Local Government",3.61077477722604,4
"1461","CA5710004","KNIGHTS LANDING SVC. DIST.","YOLO",1300,287,"Local Government",4.52961672473868,3
"1462","CA5710005","CITY OF WINTERS","YOLO",7417,2096,"Local Government",3.53864503816794,3
"1463","CA5710006","CITY OF WOODLAND","YOLO",60292,16753,"Local Government",3.59887781292903,4
"1464","CA5710011","WILD WINGS GOLF COMMUNITY","YOLO",1115,352,"Local Government",3.16761363636364,3
"1465","CA5710012","WOODLAND-DAVIS CLEAN WATER AGENCY","YOLO",0,2,"Local Government",0,-Inf
"1466","CA0300037","JACKSON VALLEY IRRIGATION DISTRICT","AMADOR",2000,190,"Local Government",10.5263157894737,3
"1467","CA0310001","CITY OF JACKSON","AMADOR",4686,2175,"Local Government",2.15448275862069,3
"1468","CA0310003","AWA, TANNER","AMADOR",4943,1741,"Local Government",2.83917288914417,3
"1469","CA0310004","PLYMOUTH, CITY OF","AMADOR",1060,520,"Local Government",2.03846153846154,3
"1470","CA0310008","CAMANCHE NORTH SHORE INC.","AMADOR",255,211,"Local Government",1.2085308056872,2
"1471","CA0310012","AWA BUCKHORN PLANT","AMADOR",8809,2729,"Local Government",3.22792231586662,3
"1472","CA0310018","FIRST MACE MEADOWS UNIT NO. 2","AMADOR",200,81,"Privately owned, PUC-regulated, for profit water company",2.46913580246914,2
"1473","CA0310019","AWA LA MEL HEIGHTS #3","AMADOR",188,55,"Local Government",3.41818181818182,2
"1474","CA0310020","THE OAKS MOBILE HOME PARK","AMADOR",600,213,"Privately owned, non-PUC-regulated (Community Water System)",2.8169014084507,2
"1475","CA0310021","AWA - CAMANCHE VILLAGE","AMADOR",2384,725,"Local Government",3.28827586206897,3
"1476","CA0510004","CCWD - SHEEP RANCH","CALAVERAS",134,55,"Privately owned, non-PUC-regulated (Community Water System)",2.43636363636364,2
"1477","CA0510005","CCWD - WEST POINT","CALAVERAS",988,574,"Privately owned, non-PUC-regulated (Community Water System)",1.7212543554007,2
"1478","CA0510009","BLUE LAKE SPRINGS MUT WTR","CALAVERAS",4600,1714,"Privately owned Mutual Water Company or Association",2.68378063010502,3
"1479","CA0510010","VALLEY SPRINGS PUD","CALAVERAS",900,262,"Local Government",3.43511450381679,2
"1480","CA0510017","CCWD - COPPER COVE","CALAVERAS",4416,2595,"Local Government",1.70173410404624,3
"1481","CA0510019","CCWD - WALLACE","CALAVERAS",340,106,"Local Government",3.20754716981132,2
"1482","CA3910002","SAN JOAQUIN COUNTY - COLONIAL HEIGHTS","SAN JOAQUIN",1851,561,"Local Government",3.29946524064171,3
"1483","CA3910003","ESCALON, CITY OF","SAN JOAQUIN",7558,2485,"Local Government",3.04144869215292,3
"1484","CA3910005","MANTECA, CITY OF","SAN JOAQUIN",81664,22596,"Local Government",3.61409098955567,4
"1485","CA3910006","STOCKTON EAST WATER DISTRICT","SAN JOAQUIN",50,4,"Local Government",12.5,1
"1486","CA3910007","RIPON, CITY OF","SAN JOAQUIN",15847,4848,"Local Government",3.26877062706271,4
"1487","CA3910009","SAN JOAQUIN COUNTY - THORNTON","SAN JOAQUIN",964,292,"Local Government",3.3013698630137,2
"1488","CA3910011","TRACY, CITY OF","SAN JOAQUIN",92000,24625,"Local Government",3.73604060913706,4
"1489","CA3910015","CITY OF LATHROP","SAN JOAQUIN",24268,7303,"Local Government",3.32301793783377,4
"1490","CA3910017","SAN JOAQUIN COUNTY-MOKELUMNE ACRES","SAN JOAQUIN",3762,1144,"Local Government",3.28846153846154,3
"1491","CA3910018","SAN JOAQUIN RIVER CLUB INC","SAN JOAQUIN",600,385,"Privately owned, non-PUC-regulated (Community Water System)",1.55844155844156,2
"1492","CA3910022","LITTLE POTATO SLOUGH MUTUAL","SAN JOAQUIN",350,202,"Privately owned, non-PUC-regulated (Community Water System)",1.73267326732673,2
"1493","CA3910024","SAN JOAQUIN COUNTY - WILKINSON MANOR","SAN JOAQUIN",845,256,"Local Government",3.30078125,2
"1494","CA5000433","OID-OAKDALE RURAL WATER SYSTEM #1","STANISLAUS",1319,476,"Privately owned, non-PUC-regulated (Community Water System)",2.77100840336134,3
"1495","CA5010006","CITY OF WATERFORD","STANISLAUS",8788,2112,"Local Government",4.16098484848485,3
"1496","CA5010010","MODESTO, CITY OF","STANISLAUS",222335,69766,"Local Government",3.18686752859559,5
"1497","CA5010013","CITY OF NEWMAN-WATER DEPARTMENT","STANISLAUS",11361,3495,"Local Government",3.25064377682403,4
"1498","CA5010019","TURLOCK, CITY OF","STANISLAUS",74730,18680,"Local Government",4.00053533190578,4
"1499","CA5010021","DENAIR COMMUNITY SERVICES DISTRICT","STANISLAUS",4860,1646,"Local Government",2.95261239368165,3
"1500","CA5010023","CITY OF MODESTO - SOUTH TURLOCK","STANISLAUS",1079,332,"Local Government",3.25,3
"1501","CA5010026","WATERFORD - HICKMAN","STANISLAUS",597,181,"Local Government",3.29834254143646,2
"1502","CA5010029","CITY OF MODESTO - HILLCREST (DEL RIO)","STANISLAUS",1274,401,"Local Government",3.17705735660848,3
"1503","CA5010031","CITY OF MODESTO - WALNUT MANOR","STANISLAUS",175,53,"Local Government",3.30188679245283,2
"1504","CA5010034","CITY OF MODESTO - NORTH TURLOCK","STANISLAUS",145,52,"Local Government",2.78846153846154,2
"1505","CA5010035","CITY OF MODESTO - CENTRAL TURLOCK","STANISLAUS",116,36,"Local Government",3.22222222222222,2
"1506","CA5010039","WESTERN HILLS WATER DISTRICT/DIABLO GRAN","STANISLAUS",2000,596,"Local Government",3.35570469798658,3
"1507","CA5010040","SOUTH SAN JOAQUIN IRRIGATION DISTRICT","STANISLAUS",50,3,"Local Government",16.6666666666667,1
"1508","CA1010007","CITY OF FRESNO","FRESNO",537659,134136,"Local Government",4.00831245899684,5
"1509","CA2000521","BROADVIEW TERRACE MUTUAL WATER COMPANY","MADERA",498,178,"Privately owned Mutual Water Company or Association",2.79775280898876,2
"1510","CA2000729","MADERA CO SA16 SUMNER HILL-WATER SYSTEM","MADERA",135,41,"Local Government",3.29268292682927,2
"1511","CA2010002","CITY OF MADERA","MADERA",66225,14144,"Local Government",4.68219739819004,4
"1512","CA2010003","BASS LAKE WATER COMPANY","MADERA",4527,1009,"Privately owned, PUC-regulated, for profit water company",4.48662041625372,3
"1513","CA2010006","MADERA CO SA3-PARKSDALE","MADERA",1789,542,"Local Government",3.30073800738007,3
"1514","CA2010007","CAL AM - OAKHURST","MADERA",3449,1472,"Privately owned, PUC-regulated, for profit water company",2.34307065217391,3
"1515","CA2010008","MADERA CO MD10A-MADERA RANCHOS","MADERA",3072,944,"Local Government",3.25423728813559,3
"1516","CA2010012","CAL AM - RAYMOND","MADERA",307,94,"Privately owned, PUC-regulated, for profit water company",3.26595744680851,2
"1517","CA2010013","CAL AM - COARSEGOLD","MADERA",79,25,"Privately owned, non-PUC-regulated (Community Water System)",3.16,1
"1518","CA2010017","TESORO VIEJO MASTER MWC, INC.","MADERA",2640,143,"Privately owned, PUC-regulated, for profit water company",18.4615384615385,3
"1519","CA2210001","MARIPOSA PUBLIC UTILITY DIST","MARIPOSA",2000,652,"Local Government",3.06748466257669,3
"1520","CA2400053","EL NIDO MOBILE HOME PARK","MERCED",137,50,"Privately owned, non-PUC-regulated (Community Water System)",2.74,2
"1521","CA2400128","COUNTRY CLUB COUNTY WD","MERCED",64,23,"Privately owned, non-PUC-regulated (Community Water System)",2.78260869565217,1
"1522","CA2400167","BALLICO CSD","MERCED",238,73,"Privately owned, non-PUC-regulated (Community Water System)",3.26027397260274,2
"1523","CA2400172","JOHN LATORACCA CORRECTIONAL FACILITY","MERCED",800,12,"Local Government",66.6666666666667,2
"1524","CA2410002","CITY OF DOS PALOS","MERCED",7452,2522,"Local Government",2.95479777954005,3
"1525","CA2410004","CITY OF LIVINGSTON","MERCED",14894,3419,"Local Government",4.35624451594033,4
"1526","CA2410008","CAL AM - MEADOWBROOK","MERCED",5640,1709,"Privately owned, PUC-regulated, for profit water company",3.30017554125219,3
"1527","CA2410010","WINTON WATER & SANITARY DIST","MERCED",8500,2594,"Local Government",3.27679259830378,3
"1528","CA2410012","HILMAR COUNTY WATER DISTRICT","MERCED",5197,1616,"Local Government",3.21596534653465,3
"1529","CA2410018","SANTA NELLA COUNTY WATER DISTRICT","MERCED",1308,654,"Local Government",2,3
"1530","CA5500048","DON PEDRO REC AG:FLEM.MEADOWS","TUOLUMNE",1041,18,"Privately owned, non-PUC-regulated (Community Water System)",57.8333333333333,3
"1531","CA5500057","LONG BARN PROPERTY OWNERS","TUOLUMNE",567,162,"Privately owned, non-PUC-regulated (Community Water System)",3.5,2
"1532","CA5500071","RAWHIDE INVESTMENT COMPANY","TUOLUMNE",269,100,"Privately owned, non-PUC-regulated (Community Water System)",2.69,2
"1533","CA5500077","SLIDE INN SNOWBOWL WATER CO","TUOLUMNE",417,152,"Privately owned, PUC-regulated, for profit water company",2.74342105263158,2
"1534","CA5500086","SONORA ESTATES MOBILE HOME PARK","TUOLUMNE",231,87,"Privately owned, non-PUC-regulated (Community Water System)",2.6551724137931,2
"1535","CA5500104","CASCADE ESTATES","TUOLUMNE",316,113,"Privately owned, non-PUC-regulated (Community Water System)",2.79646017699115,2
"1536","CA5500124","MONO VISTA RANCH MHP","TUOLUMNE",105,30,"Privately owned, non-PUC-regulated (Community Water System)",3.5,2
"1537","CA5500125","MOTHER LODE MOBILE ESTATES","TUOLUMNE",210,75,"Privately owned, non-PUC-regulated (Community Water System)",2.8,2
"1538","CA5500128","GOLD RUSH MOBILE HOME PARK","TUOLUMNE",67,53,"Privately owned, non-PUC-regulated (Community Water System)",1.26415094339623,1
"1539","CA5500193","TAMARRON MOBILE HOME PARK","TUOLUMNE",225,100,"Privately owned, non-PUC-regulated (Community Water System)",2.25,2
"1540","CA5500353","SIERRA VILLAGE MOBILE HOME PARK","TUOLUMNE",30,30,"Privately owned, non-PUC-regulated (Community Water System)",1,1
"1541","CA5500363","TUD-WARDS FERRY RANCHES","TUOLUMNE",55,23,"Local Government",2.39130434782609,1
"1542","CA5510001","TUD - SONORA/JAMESTOWN WATER SYSTEM","TUOLUMNE",11022,4996,"Local Government",2.20616493194556,4
"1543","CA5510002","TUD - PONDEROSA","TUOLUMNE",1653,639,"Local Government",2.5868544600939,3
"1544","CA5510003","TUD - TUOLUMNE WATER SYSTEM","TUOLUMNE",1706,686,"Local Government",2.4868804664723,3
"1545","CA5510004","PINECREST PERMITTEES ASSN","TUOLUMNE",1253,390,"Privately owned, non-PUC-regulated (Community Water System)",3.21282051282051,3
"1546","CA5510005","TWAIN HARTE COMMUNITY SERVICES DISTRICT","TUOLUMNE",2226,1572,"Local Government",1.41603053435115,3
"1547","CA5510008","LAKE DON PEDRO CSD","TUOLUMNE",3240,1464,"Local Government",2.21311475409836,3
"1548","CA5510012","TUD - UPPER BASIN WATER SYSTEM","TUOLUMNE",9409,4003,"Local Government",2.35048713464901,3
"1549","CA5510015","TUD - CEDAR RIDGE WATER SYSTEM","TUOLUMNE",1660,675,"Local Government",2.45925925925926,3
"1550","CA5510016","SIERRA PARK WATER COMPANY, INC.","TUOLUMNE",300,348,"Privately owned, PUC-regulated, for profit water company",0.862068965517241,2
"1551","CA5510025","TUD - PHOENIX LAKE PARK","TUOLUMNE",131,56,"Local Government",2.33928571428571,2
"1552","CA5510026","PHOENIX LAKE ESTATES CC MWC","TUOLUMNE",988,353,"Privately owned Mutual Water Company or Association",2.79886685552408,2
"1553","CA1010001","BAKMAN WATER COMPANY","FRESNO",16756,2505,"Privately owned, PUC-regulated, for profit water company",6.68902195608782,4
"1554","CA1010003","CITY OF CLOVIS","FRESNO",114650,32571,"Local Government",3.52000245617267,5
"1555","CA1500349","STOCKDALE MUTUAL WATER CO.","KERN",200,81,"Privately owned Mutual Water Company or Association",2.46913580246914,2
"1556","CA1500483","ALLEN ROAD MUTUAL WATER SYSTEM","KERN",195,59,"Privately owned Mutual Water Company or Association",3.30508474576271,2
"1557","CA1500535","MANON MANOR MUTUAL WATER COMPANY","KERN",200,55,"Privately owned Mutual Water Company or Association",3.63636363636364,2
"1558","CA1500543","AGAPE MUTUAL WATER SYSTEM","KERN",60,16,"Privately owned Mutual Water Company or Association",3.75,1
"1559","CA1500544","ENOS LANE PUBLIC UTILITY DISTRICT","KERN",365,89,"Privately owned Mutual Water Company or Association",4.10112359550562,2
"1560","CA1500546","HARVEST MOON MUTUAL WATER CO","KERN",138,49,"Privately owned Mutual Water Company or Association",2.81632653061224,2
"1561","CA1500560","KRANENBURG WATER SYSTEM","KERN",42,15,"Privately owned, non-PUC-regulated (Community Water System)",2.8,1
"1562","CA1500561","ROUND MOUNTAIN WATER COMPANY","KERN",50,17,"Privately owned Mutual Water Company or Association",2.94117647058824,1
"1563","CA1500584","GOOSELAKE WATER COMPANY","KERN",90,32,"Privately owned Mutual Water Company or Association",2.8125,1
"1564","CA1500585","OASIS PROPERTY OWNERS ASSOCIATION","KERN",100,39,"Privately owned Mutual Water Company or Association",2.56410256410256,2
"1565","CA1500593","UPLANDS OF THE KERN MUTUAL WATER COMPANY","KERN",80,20,"Privately owned Mutual Water Company or Association",4,1
"1566","CA1500599","CHOCTAW VALLEY MUTUAL WATER CO.","KERN",44,18,"Privately owned Mutual Water Company or Association",2.44444444444444,1
"1567","CA1502320","LERDO SHERIFF S FACILITY","KERN",2800,110,"Privately owned Mutual Water Company or Association",25.4545454545455,3
"1568","CA1502600","WEGIS MUTUAL WATER COMPANY","KERN",51,23,"Privately owned Mutual Water Company or Association",2.21739130434783,1
"1569","CA1502620","POND MUTUAL WATER COMPANY","KERN",48,18,"Privately owned, non-PUC-regulated (Community Water System)",2.66666666666667,1
"1570","CA1502663","TOWN & COUNTRY WATER COMPANY","KERN",73,22,"Privately owned Mutual Water Company or Association",3.31818181818182,1
"1571","CA1503526","WINI MUTUAL WATER COMPANY","KERN",29,12,"Privately owned Mutual Water Company or Association",2.41666666666667,1
"1572","CA1503669","NORTH KRANENBURG WS","KERN",33,10,"Privately owned Mutual Water Company or Association",3.3,1
"1573","CA1510003","CWS - BAKERSFIELD","KERN",258035,69810,"Privately owned, PUC-regulated, for profit water company",3.69624695602349,5
"1574","CA1510004","CASA LOMA WATER CO, INC.","KERN",900,248,"Privately owned Mutual Water Company or Association",3.62903225806452,2
"1575","CA1510006","EAST NILES CSD","KERN",31772,7846,"Local Government",4.04945195003824,4
"1576","CA1510011","BUTTONWILLOW CWD","KERN",1508,439,"Local Government",3.43507972665148,3
"1577","CA1510013","MCFARLAND, CITY OF","KERN",15105,2849,"Local Government",5.3018603018603,4
"1578","CA1510019","SHAFTER, CITY OF","KERN",20500,4777,"Local Government",4.29139627381202,4
"1579","CA1510021","WASCO, CITY OF","KERN",22690,5103,"Local Government",4.44640407603371,4
"1580","CA1510022","WEST KERN WATER DISTRICT","KERN",22863,7537,"Local Government",3.03343505373491,4
"1581","CA1510029","VAUGHN WC INC","KERN",32330,10525,"Privately owned Mutual Water Company or Association",3.07173396674584,4
"1582","CA1510031","BAKERSFIELD, CITY OF","KERN",148015,46412,"Local Government",3.18915366715505,5
"1583","CA1510040","KERN COUNTY WATER AGENCY","KERN",0,4,"Local Government",0,-Inf
"1584","CA1510046","LOST HILLS UTILITY DISTRICT","KERN",2412,437,"Local Government",5.51945080091533,3
"1585","CA1510055","CWS - NORTH GARDEN","KERN",24208,6788,"Privately owned, PUC-regulated, for profit water company",3.56629345904537,4
"1586","CA1610001","ARMONA COMMUNITY SERVICES DIST","KINGS",4143,1219,"Local Government",3.39868744872847,3
"1587","CA1610002","AVENAL, CITY OF","KINGS",13053,1953,"Local Government",6.68356374807988,4
"1588","CA1610003","HANFORD, CITY OF","KINGS",62127,17296,"Local Government",3.59198658649399,4
"1589","CA1610004","CORCORAN, CITY OF","KINGS",21835,3383,"Local Government",6.45433047590896,4
"1590","CA1610009","KETTLEMAN CITY CSD","KINGS",1450,354,"Local Government",4.09604519774011,3
"1591","CA5400553","DEL ORO TRAVER DISTRICT","TULARE",663,201,"Privately owned, PUC-regulated, for profit water company",3.29850746268657,2
"1592","CA5400665","DEL ORO RIVER ISLAND SERV TERR #1","TULARE",1287,390,"Privately owned, PUC-regulated, for profit water company",3.3,3
"1593","CA5400682","PLAINVIEW MWC - CENTRAL WATER","TULARE",138,42,"Privately owned Mutual Water Company or Association",3.28571428571429,2
"1594","CA5400767","DEL ORO EAST PLANO DISTRICT","TULARE",46,14,"Privately owned, PUC-regulated, for profit water company",3.28571428571429,1
"1595","CA5402048","DEL ORO RIVER ISLAND SERV TERR #2","TULARE",99,30,"Privately owned, PUC-regulated, for profit water company",3.3,1
"1596","CA5410007","LSID - TONYVILLE","TULARE",500,52,"Local Government",9.61538461538461,2
"1597","CA5410009","PIXLEY PUBLIC UTIL DIST","TULARE",2709,821,"Local Government",3.29963459196102,3
"1598","CA5410014","TIPTON COMMUNITY SERVICES DIST","TULARE",2543,599,"Privately owned, non-PUC-regulated (Community Water System)",4.24540901502504,3
"1599","CA5410017","LONDON COMMUNITY SERV DIST","TULARE",2138,320,"Privately owned, non-PUC-regulated (Community Water System)",6.68125,3
"1600","CA5410025","WOODVILLE PUBLIC UTILITY DIST","TULARE",1673,467,"Local Government",3.58244111349036,3
"1601","CA5410026","POPLAR COMM SERVICE DIST","TULARE",2200,597,"Local Government",3.68509212730318,3
"1602","CA5410036","LSID-STRATHMORE SYSTEM","TULARE",500,158,"Local Government",3.16455696202532,2
"1603","CA5410041","CWS - TULCO WATER COMPANY","TULARE",716,178,"Privately owned, PUC-regulated, for profit water company",4.02247191011236,2
"1604","CA5410050","ALPAUGH COMMUNITY SERVICES DISTRICT","TULARE",1026,394,"Privately owned, non-PUC-regulated (Community Water System)",2.60406091370558,3
"1605","CA1400007","SIERRA HIGHLAND CSD","INYO",600,215,"Local Government",2.7906976744186,2
"1606","CA1400098","DARWIN COMMUNITY SERVICE DISTRICT","INYO",40,63,"Local Government",0.634920634920635,1
"1607","CA1410003","LADWP - LONE PINE","INYO",1967,2,"Local Government",983.5,3
"1608","CA1410004","LADWP - BIG PINE","INYO",0,2,"Local Government",0,-Inf
"1609","CA1410005","INDIAN CREEK CSD","INYO",1030,297,"Local Government",3.46801346801347,3
"1610","CA1410006","BIG PINE CSD","INYO",792,304,"Privately owned, non-PUC-regulated (Community Water System)",2.60526315789474,2
"1611","CA2610003","BRIDGEPORT PUD","MONO",851,258,"Local Government",3.2984496124031,2
"1612","CA3600008","APPLE VALLEY FOOTHILL CWD","SAN BERNARDINO",712,216,"Privately owned, non-PUC-regulated (Community Water System)",3.2962962962963,2
"1613","CA3600009","APPLE VALLEY HEIGHTS CWD","SAN BERNARDINO",943,286,"Local Government",3.2972027972028,2
"1614","CA3600139","JUBILEE MWC","SAN BERNARDINO",855,205,"Privately owned Mutual Water Company or Association",4.17073170731707,2
"1615","CA3600222","JUNIPER RIVIERA CWD","SAN BERNARDINO",441,250,"Local Government",1.764,2
"1616","CA3610002","ALPINE WATER USERS ASSOCIATION","SAN BERNARDINO",2534,937,"Privately owned Mutual Water Company or Association",2.70437566702241,3
"1617","CA3610003","LIBERTY UTILITIES (AV RANCHOS) CORP.","SAN BERNARDINO",62602,20871,"Privately owned, PUC-regulated, for profit water company",2.99947295290115,4
"1618","CA3610004","WEST VALLEY WATER DISTRICT","SAN BERNARDINO",83902,22034,"Local Government",3.80784242534265,4
"1619","CA3610005","LAKE ARROWHEAD CSD","SAN BERNARDINO",7183,7862,"Local Government",0.91363520732638,3
"1620","CA3610006","WATER FACILITIES AUTHORITY-JPA","SAN BERNARDINO",0,7,"Local Government",0,-Inf
"1621","CA3610008","BIG BEAR CITY CSD","SAN BERNARDINO",12543,6149,"Local Government",2.03984387705318,4
"1622","CA3610009","BIGHORN - DESERT VIEW WATER AGENCY","SAN BERNARDINO",3086,1631,"Local Government",1.89209074187615,3
"1623","CA3610011","CEDARPINES PARK MWC","SAN BERNARDINO",2511,771,"Privately owned Mutual Water Company or Association",3.2568093385214,3
"1624","CA3610016","GLEN MARTIN MWC","SAN BERNARDINO",450,338,"Privately owned, non-PUC-regulated (Community Water System)",1.33136094674556,2
"1625","CA3610017","HAVASU WC","SAN BERNARDINO",361,224,"Privately owned, PUC-regulated, for profit water company",1.61160714285714,2
"1626","CA3610018","CUCAMONGA VALLEY WATER DISTRICT","SAN BERNARDINO",201950,48250,"Local Government",4.18549222797927,5
"1627","CA3610022","DWP - FAWNSKIN","SAN BERNARDINO",510,717,"Local Government",0.711297071129707,2
"1628","CA3610024","HESPERIA WD","SAN BERNARDINO",94133,26879,"Local Government",3.50210201272369,4
"1629","CA3610028","MARYGOLD MWC","SAN BERNARDINO",3049,924,"Privately owned Mutual Water Company or Association",3.29978354978355,3
"1630","CA3610029","MONTE VISTA CWD","SAN BERNARDINO",57678,11856,"Local Government",4.86487854251012,4
"1631","CA3610030","MARIANA RANCHOS CWD","SAN BERNARDINO",1386,420,"Local Government",3.3,3
"1632","CA3610032","NEEDLES, CITY OF","SAN BERNARDINO",4302,1706,"Local Government",2.52168815943728,3
"1633","CA3610036","CHINO HILLS, CITY OF","SAN BERNARDINO",84364,21465,"Local Government",3.93030514791521,4
"1634","CA3610037","REDLANDS CITY MUD-WATER DIV","SAN BERNARDINO",71554,23694,"Local Government",3.01992065501815,4
"1635","CA3610038","RIALTO, CITY OF","SAN BERNARDINO",54453,11579,"Local Government",4.70273771482857,4
"1636","CA3610044","BIG BEAR LAKE DWP - BIG BEAR SYSTEM","SAN BERNARDINO",9338,14756,"Local Government",0.632827324478178,3
"1637","CA3610045","LACSD - RIMFOREST","SAN BERNARDINO",579,294,"Local Government",1.96938775510204,2
"1638","CA3610049","TWENTYNINE PALMS WATER DISTRICT","SAN BERNARDINO",18795,6940,"Local Government",2.70821325648415,4
"1639","CA3610053","WESTERN HEIGHTS WATER COMPANY","SAN BERNARDINO",7405,2247,"Privately owned Mutual Water Company or Association",3.29550511793502,3
"1640","CA3610057","RIVERSIDE HIGHLAND WATER COMPANY","SAN BERNARDINO",17780,4852,"Privately owned Mutual Water Company or Association",3.66446826051113,4
"1641","CA3610075","CHINO BASIN DESALTER AUTH. - DESALTER 1","SAN BERNARDINO",0,4,"Local Government",0,-Inf
"1642","CA3610082","SAN ANTONIO CANYON MSC","SAN BERNARDINO",108,64,"Privately owned Mutual Water Company or Association",1.6875,2
"1643","CA3610105","GOLDEN STATE WATER CO - APPLE VLY NORTH","SAN BERNARDINO",2088,725,"Privately owned, PUC-regulated, for profit water company",2.88,3
"1644","CA3610107","GOLDEN STATE WATER CO - APPLE VLY SOUTH","SAN BERNARDINO",6264,1907,"Privately owned, PUC-regulated, for profit water company",3.28474042999476,3
"1645","CA3610108","GOLDEN STATE WATER CO - LUCERNE","SAN BERNARDINO",744,315,"Privately owned, PUC-regulated, for profit water company",2.36190476190476,2
"1646","CA3610109","SHEEP CREEK WATER COMPANY","SAN BERNARDINO",3366,1192,"Privately owned Mutual Water Company or Association",2.8238255033557,3
"1647","CA3610114","CLAWA","SAN BERNARDINO",2320,1223,"Local Government",1.89697465249387,3
"1648","CA3610120","PHELAN PINON HILLS CSD","SAN BERNARDINO",22763,6898,"Local Government",3.29994201217744,4
"1649","CA3610129","MOJAVE WATER AGENCY","SAN BERNARDINO",0,4,"Local Government",0,-Inf
"1650","CA3610854","SEARLES VALLEY MINERALS OPERATIONS INC","SAN BERNARDINO",1818,796,"Privately owned, PUC-regulated, for profit water company",2.28391959798995,3
"1651","CA1310001","BRAWLEY, CITY OF","IMPERIAL",26273,5646,"Local Government",4.65338292596529,4
"1652","CA1310006","IMPERIAL, CITY OF","IMPERIAL",19372,5793,"Local Government",3.34403590540307,4
"1653","CA1310007","HEBER PUBLIC UTILITY DISTRICT","IMPERIAL",6979,1627,"Local Government",4.28948985863553,3
"1654","CA1310013","SEELEY CWD","IMPERIAL",2124,449,"Local Government",4.73051224944321,3
"1655","CA3700905","PINE HILLS MUTUAL WATER COMPANY","SAN DIEGO",760,236,"Privately owned Mutual Water Company or Association",3.22033898305085,2
"1656","CA3700919","LAKE WOHLFORD RESORT","SAN DIEGO",250,137,"Privately owned, non-PUC-regulated (Community Water System)",1.82481751824818,2
"1657","CA3700924","LAKE MORENA VIEWS MW CO.","SAN DIEGO",360,120,"Privately owned Mutual Water Company or Association",3,2
"1658","CA3700934","PAUMA VALLEY MUTUAL WATER COMPANY","SAN DIEGO",120,28,"Privately owned Mutual Water Company or Association",4.28571428571429,2
"1659","CA3701408","YUIMA MUNICIPAL WATER DISTRICT","SAN DIEGO",260,107,"Local Government",2.42990654205607,2
"1660","CA3710001","CAL-AM WATER CORONADO","SAN DIEGO",94000,21100,"Privately owned, PUC-regulated, for profit water company",4.45497630331754,4
"1661","CA3710002","VALLECITOS WD","SAN DIEGO",103233,21805,"Local Government",4.7343728502637,5
"1662","CA3710005","CARLSBAD MWD","SAN DIEGO",88422,28079,"Local Government",3.14904376936501,4
"1663","CA3710006","ESCONDIDO, CITY OF","SAN DIEGO",137941,26604,"Local Government",5.18497218463389,5
"1664","CA3710009","DESCANSO COMMUNITY SERVICES DISTRICT","SAN DIEGO",870,317,"Local Government",2.74447949526814,2
"1665","CA3710010","HELIX WATER DISTRICT","SAN DIEGO",247526,56481,"Local Government",4.38246489970078,5
"1666","CA3710016","RAINBOW MUNICIPAL WD","SAN DIEGO",22288,8155,"Local Government",2.73304721030043,4
"1667","CA3710018","RINCON DEL DIABLO MWD (ID-1)","SAN DIEGO",27255,6869,"Local Government",3.9678264667346,4
"1668","CA3710019","RAMONA MUNICIPAL WD","SAN DIEGO",33865,9507,"Local Government",3.56211212790575,4
"1669","CA3710020","SAN DIEGO, CITY OF","SAN DIEGO",1405422,280840,"Local Government",5.00435123201823,6
"1670","CA3710021","SAN DIEGUITO WD","SAN DIEGO",38003,11666,"Local Government",3.25758614777987,4
"1671","CA3710023","SANTA FE I.D.","SAN DIEGO",24509,6461,"Local Government",3.79337563844606,4
"1672","CA3710025","SWEETWATER AUTHORITY","SAN DIEGO",190680,33224,"Privately owned, non-PUC-regulated (Community Water System)",5.73922465687455,5
"1673","CA3710029","OLIVENHAIN MWD","SAN DIEGO",86478,22579,"Local Government",3.83001904424465,4
"1674","CA3710036","BORREGO WD","SAN DIEGO",3429,2047,"Local Government",1.67513434294089,3
"1675","CA3710037","PADRE DAM MWD","SAN DIEGO",90864,22986,"Local Government",3.95301487862177,4
"1676","CA3710039","PINE VALLEY MUTUAL WC","SAN DIEGO",2500,691,"Privately owned Mutual Water Company or Association",3.61794500723589,3
